status	relative_path	left_size	right_size	delta_right_minus_left	left_target	right_target
different	usr/lib/swift/appletvos/_Differentiation.swiftmodule/arm64-apple-tvos.swiftinterface	136644	136644	0		
different	usr/lib/swift/appletvos/_Differentiation.swiftmodule/arm64-apple-tvos.swiftmodule	1208060	1208060	0		
different	usr/lib/swift/appletvos/_Differentiation.swiftmodule/arm64-apple-tvos.swiftsourceinfo	116064	116064	0		
different	usr/lib/swift/appletvos/_RegexParser.swiftmodule/arm64-apple-tvos.private.swiftinterface	90814	90814	0		
different	usr/lib/swift/appletvos/_RegexParser.swiftmodule/arm64-apple-tvos.swiftdoc	104796	104796	0		
different	usr/lib/swift/appletvos/_RegexParser.swiftmodule/arm64-apple-tvos.swiftinterface	89833	89833	0		
different	usr/lib/swift/appletvos/_RegexParser.swiftmodule/arm64-apple-tvos.swiftmodule	413860	413860	0		
different	usr/lib/swift/appletvos/_RegexParser.swiftmodule/arm64-apple-tvos.swiftsourceinfo	311700	311700	0		
different	usr/lib/swift/appletvos/_StringProcessing.swiftmodule/arm64-apple-tvos.private.swiftinterface	36754	36754	0		
different	usr/lib/swift/appletvos/_StringProcessing.swiftmodule/arm64-apple-tvos.swiftdoc	56364	56364	0		
different	usr/lib/swift/appletvos/_StringProcessing.swiftmodule/arm64-apple-tvos.swiftinterface	23774	23774	0		
different	usr/lib/swift/appletvos/_StringProcessing.swiftmodule/arm64-apple-tvos.swiftmodule	486436	486436	0		
different	usr/lib/swift/appletvos/_StringProcessing.swiftmodule/arm64-apple-tvos.swiftsourceinfo	119476	119476	0		
different	usr/lib/swift/appletvos/_Volatile.swiftmodule/arm64-apple-tvos.private.swiftinterface	2738	2738	0		
different	usr/lib/swift/appletvos/_Volatile.swiftmodule/arm64-apple-tvos.swiftdoc	3748	3748	0		
different	usr/lib/swift/appletvos/_Volatile.swiftmodule/arm64-apple-tvos.swiftinterface	2738	2738	0		
different	usr/lib/swift/appletvos/_Volatile.swiftmodule/arm64-apple-tvos.swiftmodule	24968	24968	0		
different	usr/lib/swift/appletvos/_Volatile.swiftmodule/arm64-apple-tvos.swiftsourceinfo	4384	4384	0		
different	usr/lib/swift/appletvos/libswiftCxx.a	182728	182728	0		
different	usr/lib/swift/appletvos/libswiftCxxStdlib.a	239080	239080	0		
different	usr/lib/swift/appletvsimulator/Cxx.swiftmodule/arm64-apple-tvos-simulator.private.swiftinterface	33878	33878	0		
different	usr/lib/swift/appletvsimulator/Cxx.swiftmodule/arm64-apple-tvos-simulator.swiftdoc	13884	13884	0		
different	usr/lib/swift/appletvsimulator/Cxx.swiftmodule/arm64-apple-tvos-simulator.swiftinterface	33878	33878	0		
different	usr/lib/swift/appletvsimulator/Cxx.swiftmodule/arm64-apple-tvos-simulator.swiftsourceinfo	48440	48440	0		
different	usr/lib/swift/appletvsimulator/Cxx.swiftmodule/x86_64-apple-tvos-simulator.private.swiftinterface	33879	33879	0		
different	usr/lib/swift/appletvsimulator/Cxx.swiftmodule/x86_64-apple-tvos-simulator.swiftdoc	13884	13884	0		
different	usr/lib/swift/appletvsimulator/Cxx.swiftmodule/x86_64-apple-tvos-simulator.swiftinterface	33879	33879	0		
different	usr/lib/swift/appletvsimulator/Cxx.swiftmodule/x86_64-apple-tvos-simulator.swiftsourceinfo	48440	48440	0		
different	usr/lib/swift/appletvsimulator/CxxStdlib.swiftmodule/arm64-apple-tvos-simulator.private.swiftinterface	19629	19629	0		
different	usr/lib/swift/appletvsimulator/CxxStdlib.swiftmodule/arm64-apple-tvos-simulator.swiftdoc	7112	7112	0		
different	usr/lib/swift/appletvsimulator/CxxStdlib.swiftmodule/arm64-apple-tvos-simulator.swiftinterface	19629	19629	0		
different	usr/lib/swift/appletvsimulator/CxxStdlib.swiftmodule/arm64-apple-tvos-simulator.swiftsourceinfo	32624	32624	0		
different	usr/lib/swift/appletvsimulator/CxxStdlib.swiftmodule/x86_64-apple-tvos-simulator.private.swiftinterface	19630	19630	0		
different	usr/lib/swift/appletvsimulator/CxxStdlib.swiftmodule/x86_64-apple-tvos-simulator.swiftdoc	7112	7112	0		
different	usr/lib/swift/appletvsimulator/CxxStdlib.swiftmodule/x86_64-apple-tvos-simulator.swiftinterface	19630	19630	0		
different	usr/lib/swift/appletvsimulator/CxxStdlib.swiftmodule/x86_64-apple-tvos-simulator.swiftsourceinfo	32624	32624	0		
different	usr/lib/swift/appletvsimulator/Distributed.swiftmodule/arm64-apple-tvos-simulator.private.swiftinterface	23314	23314	0		
different	usr/lib/swift/appletvsimulator/Distributed.swiftmodule/arm64-apple-tvos-simulator.swiftdoc	78096	78096	0		
different	usr/lib/swift/appletvsimulator/Distributed.swiftmodule/arm64-apple-tvos-simulator.swiftinterface	23314	23314	0		
different	usr/lib/swift/appletvsimulator/Distributed.swiftmodule/arm64-apple-tvos-simulator.swiftmodule	89304	89304	0		
different	usr/lib/swift/appletvsimulator/Distributed.swiftmodule/arm64-apple-tvos-simulator.swiftsourceinfo	61568	61568	0		
different	usr/lib/swift/appletvsimulator/Distributed.swiftmodule/x86_64-apple-tvos-simulator.private.swiftinterface	23315	23315	0		
different	usr/lib/swift/appletvsimulator/Distributed.swiftmodule/x86_64-apple-tvos-simulator.swiftdoc	78096	78096	0		
different	usr/lib/swift/appletvsimulator/Distributed.swiftmodule/x86_64-apple-tvos-simulator.swiftinterface	23315	23315	0		
different	usr/lib/swift/appletvsimulator/Distributed.swiftmodule/x86_64-apple-tvos-simulator.swiftmodule	89304	89304	0		
different	usr/lib/swift/appletvsimulator/Distributed.swiftmodule/x86_64-apple-tvos-simulator.swiftsourceinfo	61568	61568	0		
different	usr/lib/swift/appletvsimulator/Observation.swiftmodule/arm64-apple-tvos-simulator.private.swiftinterface	12006	12006	0		
